Batch #5293,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130430,A0131430,Mens Sonic The Hedgedog T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Sonic The Hedgedog T-Shirt-130430,XL,L,Very Good,No,Blue,RETROM,TShirts,Character T-Shirts,Retro,,40,40,0.173,,Migration_T-Shirt,cat_tshirt,71,106,53,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130431,A0131431,Mens Metallica The Day That Never Comes T-Shirt,With minor pilling. Slightly faded color. Small hole & stain on right front side,Others,Unbranded,Unbranded,No Logo,Mens Metallica The Day That Never Comes T-Shirt-130431,2XL,XXL,Very Good,No,Black,RETROM,TShirts,Music / Band T-Shirts,Retro,,85,85,0.275,,Migration_T-Shirt,cat_tshirt,76,126,63,,25,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130432,A0131432,Mens Rip N Dip Pink Pocket T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Rip N Dip Pink Pocket T-Shirt-130432,M,M,Very Good,No,Pink,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,55,55,0.195,,Migration_T-Shirt,cat_tshirt,68,96,48,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130433,A0131433,Mens Chinatown Market Black T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Chinatown Market Black T-Shirt-130433,L,M,Very Good,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,90,90,0.244,,Migration_T-Shirt,cat_tshirt,74,102,51,,23,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130434,A0131434,Mens Santa Cruz Skateboards Long Sleeve T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Santa Cruz Skateboards Long Sleeve T-Shirt-130434,M,M,Excellent,No,Maroon,RETROM,TShirts,Long Sleeve T-Shirts,Retro,,50,50,0.239,,Migration_T-Shirt,cat_tshirt,69,96,48,,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130435,A0131435,Mens Santa Cruz Jason Jessee Pray For Me T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Santa Cruz Jason Jessee Pray For Me T-Shirt-130435,S,S,Very Good,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,40,40,0.183,,Migration_T-Shirt,cat_tshirt,65,88,44,,19,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130436,A0131436,Mens 10Deep Tie Dye Long Sleeve T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens 10Deep Tie Dye Long Sleeve T-Shirt-130436,S,S,Very Good,No,Multi Color,RETROM,TShirts,Long Sleeve T-Shirts,Retro,,60,60,0.254,,Migration_T-Shirt,cat_tshirt,71,92,46,,62,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130437,A0131437,Mens Patagonia Board Shorts,,Patagonia,Branded,HB / V,No Logo,Mens Patagonia Board Shorts-130437,32,M,Very Good,No,Gray,RETROM,Shorts,Swim / Board Shorts,Retro,,60,60,0.165,,Migration_Shorts,cat_shorts,46,,,76,,1,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,5293
130438,A0131438,Mens Levi Strauss # 505 Denim Shorts,,Levi Strauss & Co.,Branded,HB,No Logo,Mens Levi Strauss # 505 Denim Shorts-130438,W: 33,M,Very Good,No,Blue,RETROM,Shorts,Denim Shorts,Retro,,50,50,0.425,,Migration_Shorts,cat_shorts,47,,,82,,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130439,A0131439,Habitat Dolphins All Over Print Vintage T-Shirt,"Stitching removed on inner back neck & hem. Good faded print. Faded color. Small hole on lower back , shoulder & neck",Others-Vintage,Branded,V,No Logo,Habitat Dolphins All Over Print Vintage T-Shirt-130439,,L,Good,No,Black,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,175,175,0.222,,Migration_T-Shirt,cat_tshirt,74,112,56,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130440,A0131440,Salem Sportswear Philadephia Sixers Barkley Single Stitch VNTG T-Shirt,Faded color. Good faded print. ,Others-Vintage,Branded,V,No Logo,Salem Sportswear Philadephia Sixers Barkley Single Stitch VNTG T-Shirt-130440,M,M,Very Good,No,Black,VINTAGEM,TShirts,Sports T-Shirts,Vintage,,150,150,0.18,,Migration_T-Shirt,cat_tshirt,65,100,50,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130441,A0131441,1998 The Exploited Total Chaos Vintage T-Shirt Distressed,Good faded print. Ripped on back. Slightly faded color,Others-Vintage,Branded,V,No Logo,1998 The Exploited Total Chaos Vintage T-Shirt Distressed-130441,L,L,Good,No,Black,VINTAGEM,TShirts,Music / Band T-Shirts,Vintage,,60,60,0.195,,Migration_T-Shirt,cat_tshirt,68,108,54,,20,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130442,A0131442,Harley Davidson The Harley Shop Longview Texas T-Shirt Made In USA,Has slightly faded color. Good faded print,Harley Davidson,Branded,V,No Logo,Harley Davidson The Harley Shop Longview Texas T-Shirt Made In USA-130442,XL,XL,Very Good,No,Black,VINTAGEM,TShirts,Harley Davidson T-Shirts,Vintage,,95,95,0.265,,Migration_T-Shirt,cat_tshirt,73,116,58,,20,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130443,A0131443,Stewie Griffin ' The World Is Mine ' Vintage T-Shirt,With washable stain on lower front. Good faded print,Others-Vintage,Branded,V,No Logo,Stewie Griffin ' The World Is Mine ' Vintage T-Shirt-130443,,XXL,Very Good,No,Black,VINTAGEM,TShirts,Character T-Shirts,Vintage,,125,125,0.336,,Migration_T-Shirt,cat_tshirt,79,124,62,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130444,A0131444,Slayer Hell Awaits Vintage T-Shirt,Has good faded print. Slightly faded color,Others-Vintage,Branded,V,No Logo,Slayer Hell Awaits Vintage T-Shirt-130444,L,L,Very Good,No,Black,VINTAGEM,TShirts,Music / Band T-Shirts,Vintage,,60,60,0.212,,Migration_T-Shirt,cat_tshirt,70,106,53,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130445,A0131445,89 Harlequin Sanibel Island Single Stitch VNTG T-Shirt Made In USA,Slightly yellowish color. Minor pilling,Others-Vintage,Branded,V,No Logo,89 Harlequin Sanibel Island Single Stitch VNTG T-Shirt Made In USA-130445,L,L,Very Good,No,White,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,95,95,0.212,,Migration_T-Shirt,cat_tshirt,74,104,52,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5293
130446,A0131446,Ladies Adidas With Inner Shorts Sports Skirt,,Adidas,Branded,MB,No Logo,Ladies Adidas With Inner Shorts Sports Skirt-130446,M,M,Excellent,No,Navy Blue,WOMEN,ActiveWears,Skirts,Thrift,,25,5,0.192,,Migration_Skirt,cat_activewear ,34,,,84,,1,,,,,,,,,,,,,,,,,92,,,,8,,,,,,,,100,5293
130447,A0131447,Ladies Nike Dri-Fit  Golf With Inner Sports Skirt,,Nike,Branded,HB,No Logo,Ladies Nike Dri-Fit  Golf With Inner Sports Skirt-130447,XL,L,Excellent,No,Pink,WOMEN,ActiveWears,Skirts,Thrift,,26,,0.181,,Migration_Skirt,cat_activewear ,40,,,88,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130448,A0131448,Ladies Nike Dri-Fit With Inner Black Sports Skirt,,Nike,Branded,HB,No Logo,Ladies Nike Dri-Fit With Inner Black Sports Skirt-130448,( S) UK: 8/10,L,Excellent,No,Black,WOMEN,ActiveWears,Skirts,Thrift,,26,,0.178,,Migration_Skirt,cat_activewear ,34,,,90,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5293
130449,A0131449,Ladies Abercrombie With Inner Sports Skirt,,Abercrombie,Branded,MB,No Logo,Ladies Abercrombie With Inner Sports Skirt-130449,XS,XS,Excellent,No,Gray,WOMEN,ActiveWears,Skirts,Thrift,,23,3,0.165,,Migration_Skirt,cat_activewear ,36,,,72,,1,,,,,,,11,,,,,,,,,,89,,,,,,,,,,,,100,5293
